driver_id,name,city,shift_preference,avg_hours_per_day,avg_earnings_per_hour,experience_months,rating,daily_productivity,avg_combined_score,avg_motion_score,avg_audio_score,total_flags,risk_score,risk_label,source
DRV0001,Alex Kumar,Mumbai,morning,7.5,185,18,4.8,1387.5,0.65,0.6233333333333333,0.6833333333333332,3.0,27.2,HIGH,original
DRV0002,Priya Singh,Bangalore,evening,8.2,195,24,4.9,1598.9999999999998,0.605,0.76,0.4599999999999999,2.0,25.0,HIGH,original
DRV0003,Rajesh Patel,Delhi,full_day,9.5,175,36,4.7,1662.5,0.6266666666666666,0.7999999999999999,0.45,3.0,26.266666666666666,HIGH,original
DRV0004,Meera Sharma,Pune,morning,6.8,180,12,4.6,1224.0,0.49,0.64,0.34,1.0,20.0,MEDIUM,original
DRV0005,Vikram Reddy,Hyderabad,afternoon,7.0,190,28,4.8,1330.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0006,Anjali Nair,Mumbai,evening,8.5,200,32,4.9,1700.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0007,Suresh Kumar,Bangalore,morning,7.2,178,15,4.7,1281.6,0.675,0.8200000000000001,0.5249999999999999,2.0,27.8,HIGH,original
DRV0008,Divya Menon,Chennai,full_day,9.0,188,22,4.8,1692.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0009,Karthik Iyer,Mumbai,afternoon,6.5,192,19,4.7,1248.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0010,Sneha Reddy,Hyderabad,morning,7.8,182,26,4.8,1419.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0011,Neha Driver11,Ahmedabad,morning,6.3,184,8,4.6,1159.2,0.65,0.6,0.7000000000000001,3.0,27.2,HIGH,original
DRV0012,Rekha Driver12,Chennai,morning,6.2,180,39,4.5,1116.0,0.55,0.71,0.39,1.0,22.4,MEDIUM,original
DRV0013,Shweta Driver13,Bangalore,evening,8.1,182,15,5.0,1474.2,0.58,0.62,0.55,1.0,23.6,MEDIUM,original
DRV0014,Ravi Driver14,Pune,full_day,8.9,182,29,4.5,1619.8,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0015,Shweta Driver15,Mumbai,morning,8.7,198,37,4.8,1722.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0016,Sandeep Driver16,Delhi,full_day,6.0,173,43,5.0,1038.0,0.42,0.5,0.34,1.0,17.2,MEDIUM,original
DRV0017,Naveen Driver17,Ahmedabad,afternoon,8.4,181,16,4.5,1520.4,0.49,0.42,0.56,1.0,20.0,MEDIUM,original
DRV0018,Kavitha Driver18,Chennai,full_day,7.5,185,25,4.6,1387.5,0.65,0.84,0.45,1.0,26.4,HIGH,original
DRV0019,Amit Driver19,Hyderabad,full_day,8.8,178,34,4.8,1566.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0020,Sandeep Driver20,Hyderabad,evening,8.5,205,48,4.5,1742.5,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0021,Manoj Driver21,Hyderabad,evening,9.2,178,19,4.7,1637.6,0.5175000000000001,0.535,0.5025,4.0,22.300000000000004,MEDIUM,original
DRV0022,Amit Driver22,Bangalore,evening,8.0,196,42,4.6,1568.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0023,Shweta Driver23,Mumbai,morning,6.1,179,11,4.8,1091.9,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0024,Manoj Driver24,Hyderabad,afternoon,9.4,186,17,4.9,1748.4,0.8,0.72,0.89,1.0,32.4,HIGH,original
DRV0025,Rekha Driver25,Pune,morning,7.3,198,14,4.8,1445.4,0.675,0.5750000000000001,0.78,2.0,27.8,HIGH,original
DRV0026,Priya Driver26,Pune,full_day,6.8,188,11,5.0,1278.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0027,Ravi Driver27,Kolkata,evening,9.4,173,8,4.8,1626.2,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0028,Manoj Driver28,Ahmedabad,afternoon,9.2,193,45,4.7,1775.6,0.57,0.53,0.61,1.0,23.2,MEDIUM,original
DRV0029,Kavitha Driver29,Pune,afternoon,7.0,181,12,4.5,1267.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0030,Lakshmi Driver30,Bangalore,full_day,6.1,187,43,4.6,1140.7,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0031,Lakshmi Driver31,Hyderabad,morning,7.2,179,10,4.5,1288.8,0.5549999999999999,0.525,0.5900000000000001,2.0,23.0,MEDIUM,original
DRV0032,Amit Driver32,Mumbai,evening,7.7,205,30,4.4,1578.5,0.77,0.87,0.66,1.0,31.2,HIGH,original
DRV0033,Amit Driver33,Pune,afternoon,7.8,202,18,4.6,1575.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0034,Priya Driver34,Kolkata,morning,7.2,183,29,4.6,1317.6,0.53,0.505,0.545,2.0,22.000000000000004,MEDIUM,original
DRV0035,Rekha Driver35,Pune,full_day,9.5,170,15,4.8,1615.0,0.74,0.8,0.67,1.0,30.0,HIGH,original
DRV0036,Kiran Driver36,Pune,afternoon,9.4,190,32,4.9,1786.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0037,Pooja Driver37,Kolkata,evening,7.9,188,9,4.9,1485.2,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0038,Neha Driver38,Ahmedabad,full_day,6.2,182,28,4.7,1128.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0039,Pooja Driver39,Delhi,morning,8.2,183,48,4.9,1500.6,0.68,0.66,0.69,1.0,27.6,HIGH,original
DRV0040,Shweta Driver40,Bangalore,afternoon,7.9,197,12,4.8,1556.3000000000002,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0041,Sanjay Driver41,Mumbai,full_day,8.5,172,13,4.4,1462.0,0.325,0.355,0.285,2.0,13.8,MEDIUM,original
DRV0042,Lakshmi Driver42,Hyderabad,morning,8.0,184,24,4.6,1472.0,0.7475,0.8200000000000001,0.675,4.0,31.500000000000004,HIGH,original
DRV0043,Kiran Driver43,Kolkata,full_day,7.1,194,15,4.7,1377.4,0.665,0.61,0.7216666666666667,6.0,29.0,HIGH,original
DRV0044,Kavitha Driver44,Bangalore,morning,8.5,174,30,5.0,1479.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0045,Pooja Driver45,Hyderabad,evening,8.1,188,36,4.6,1522.8,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0046,Rahul Driver46,Ahmedabad,afternoon,7.9,178,33,4.9,1406.2,0.5733333333333334,0.5983333333333333,0.5466666666666667,6.0,25.333333333333336,HIGH,original
DRV0047,Priya Driver47,Hyderabad,afternoon,7.0,193,8,4.7,1351.0,0.51,0.61,0.41,1.0,20.8,MEDIUM,original
DRV0048,Priya Driver48,Delhi,morning,6.1,195,42,4.7,1189.5,0.628,0.5800000000000001,0.678,5.0,27.12,HIGH,original
DRV0049,Arun Driver49,Hyderabad,afternoon,8.6,192,21,4.6,1651.1999999999998,0.79,0.71,0.88,1.0,32.0,HIGH,original
DRV0050,Sandeep Driver50,Delhi,afternoon,6.6,186,20,4.5,1227.6,0.65,0.87,0.43,1.0,26.4,HIGH,original
DRV0051,Naveen Driver51,Mumbai,full_day,8.3,174,26,4.8,1444.2,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0052,Vijay Driver52,Bangalore,afternoon,8.5,201,29,4.6,1708.5,0.6166666666666667,0.5566666666666666,0.6733333333333333,3.0,25.866666666666667,HIGH,original
DRV0053,Deepa Driver53,Bangalore,evening,8.2,182,28,4.7,1492.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0054,Amit Driver54,Hyderabad,afternoon,8.0,193,28,5.0,1544.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0055,Lakshmi Driver55,Mumbai,evening,6.9,184,35,4.6,1269.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0056,Neha Driver56,Delhi,evening,9.1,199,36,4.6,1810.9,0.78,0.78,0.77,1.0,31.6,HIGH,original
DRV0057,Rekha Driver57,Ahmedabad,morning,6.6,175,25,4.9,1155.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0058,Sanjay Driver58,Pune,evening,8.6,174,12,4.9,1496.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0059,Sandeep Driver59,Mumbai,full_day,8.7,183,10,4.7,1592.1,0.66,0.6,0.72,1.0,26.8,HIGH,original
DRV0060,Priya Driver60,Ahmedabad,afternoon,7.3,184,45,4.8,1343.2,0.5975,0.66,0.535,4.0,25.500000000000004,HIGH,original
DRV0061,Rekha Driver61,Delhi,full_day,7.8,175,33,4.6,1365.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0062,Rahul Driver62,Pune,afternoon,8.7,178,36,4.5,1548.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0063,Naveen Driver63,Delhi,full_day,9.3,172,22,4.9,1599.6,0.74,0.8,0.68,1.0,30.0,HIGH,original
DRV0064,Deepa Driver64,Bangalore,evening,7.3,172,21,4.7,1255.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0065,Neha Driver65,Kolkata,full_day,9.2,172,10,5.0,1582.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0066,Amit Driver66,Bangalore,evening,8.9,186,45,4.7,1655.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0067,Lakshmi Driver67,Kolkata,full_day,7.3,174,41,4.6,1270.2,0.61,0.87,0.36,1.0,24.8,MEDIUM,original
DRV0068,Deepa Driver68,Kolkata,evening,8.9,192,39,4.9,1708.8000000000002,0.7,0.88,0.51,1.0,28.4,HIGH,original
